,0
0,-0.2482042200874824
1,-0.4121637528502025
2,-0.32914999161124225
3,-0.7236810895602339
4,0.3372554903753729
5,0.01759636117976702
6,-0.02388585681978936
7,-0.315818983009857
8,-0.10292542231644923
9,0.039349163754028985
10,-0.2260332302290948
11,-0.7197914029414709
12,-0.37727988641317206
13,-0.13865619945157998
14,0.11159556436387344
15,-0.02537964812447337
16,0.6153513255138905
17,0.06307311796716869
18,-1.2987389558032345
19,-0.15802358220920976
20,0.5636900125347127
21,0.7812481176163125
22,-0.4429814498787661
23,-0.2716269663988197
24,-0.17960675516449046
25,0.4168035459420595
26,0.6916826302366833
27,0.4725211531058036
28,0.011109958506956152
29,-1.3608493531152437
